scope,Antibiotic,rank,feature,feature_base,feature_type,importance
all,nalidixic acid,17,qnrs2_coverage,qnrs2,coverage,0.006450566463172436
all,nalidixic acid,18,bleo_identity,bleo,identity,0.006329838186502457
all,nalidixic acid,19,bleo_coverage,bleo,coverage,0.005909962113946676
all,nalidixic acid,20,dfra14_identity,dfra14,identity,0.005218064412474632
all,streptomycin,1,aph_3_ib_lineage_match,aph_3_ib,lineage_match,0.31996655464172363
all,streptomycin,2,aph_3_ib_coverage,aph_3_ib,coverage,0.17457406222820282
all,streptomycin,3,sul1_coverage,sul1,coverage,0.1225537359714508
all,streptomycin,4,aph_3_ib_identity,aph_3_ib,identity,0.09645181894302368
all,streptomycin,5,sul1_identity,sul1,identity,0.03857937455177307
all,streptomycin,6,aada1_lineage_match,aada1,lineage_match,0.03642452880740166
all,streptomycin,7,aada1_identity,aada1,identity,0.022450575605034828
all,streptomycin,8,aada1_coverage,aada1,coverage,0.014002528041601181
all,streptomycin,9,aada2_lineage_match,aada2,lineage_match,0.013215816579759121
all,streptomycin,10,aada7_coverage,aada7,coverage,0.01135534979403019
all,streptomycin,11,sul3_coverage,sul3,coverage,0.0053630005568265915
all,streptomycin,12,cmla1_coverage,cmla1,coverage,0.005294418428093195
all,streptomycin,13,aph_3_iia_identity,aph_3_iia,identity,0.0050420090556144714
all,streptomycin,14,aada7_identity,aada7,identity,0.0040223971009254456
all,streptomycin,15,dfra1_identity,dfra1,identity,0.003762283595278859
all,streptomycin,16,aada2_coverage,aada2,coverage,0.00363443186506629
all,streptomycin,17,blacarb_2_identity,blacarb_2,identity,0.003461560932919383
all,streptomycin,18,tet_g_identity,tet_g,identity,0.003276657313108444
all,streptomycin,19,aada2_identity,aada2,identity,0.0030382873956114054
all,streptomycin,20,dfra1_coverage,dfra1,coverage,0.0029160049743950367
all,sulfisoxazole,1,sul1_coverage,sul1,coverage,0.2126232236623764
all,sulfisoxazole,2,sul1_lineage_match,sul1,lineage_match,0.1545306295156479
all,sulfisoxazole,3,tet_a_coverage,tet_a,coverage,0.14812901616096497
all,sulfisoxazole,4,sul1_identity,sul1,identity,0.12352477014064789
all,sulfisoxazole,5,sul2_identity,sul2,identity,0.10695227980613708
all,sulfisoxazole,6,sul2_coverage,sul2,coverage,0.06344351917505264
all,sulfisoxazole,7,aac_3_iid_identity,aac_3_iid,identity,0.030042119324207306
all,sulfisoxazole,8,tet_a_identity,tet_a,identity,0.02864636667072773
